,Доходность (%),Макс. просадка (%),Коэф. Шарпа
MA Crossover,153.5996518498715,-30.912807959192733,0.060670675779657554
RSI,15.069288004732972,-25.886917372165385,0.01684191232520653
MACD,188.63822155021,-14.565629546774488,0.08874915333502541
Bollinger Bands,40.34624148778707,-25.886917372165385,0.02993225936291857
Volume Spike,188.32173014440235,-30.91280795919273,0.061192537424740366
